id_cliente,idade,genero,uf,segmento,score_credito,renda_mensal,saldo_medio_conta,qtd_meses_cliente,qtd_produtos_ativos,qtd_transacoes_pix_6m,vlr_total_investimentos,vlr_medio_gasto_cartao,vlr_medio_gasto_alimentacao,vlr_medio_gasto_transporte,vlr_medio_gasto_saude,vlr_medio_gasto_educacao,vlr_medio_gasto_lazer,ind_debito_automatico,qtd_dias_inatividade,vlr_limite_credito,pct_utilizacao_limite,canal_preferencial
1,34,F,PR,basico,617.21,1500.0,2981.16,17,0,2,,626.54,97.96,139.06,38.89,35.88,114.53,1,12.0,725.95,0.2062,agencia
2,58,F,SP,premium,700.98,16620.77,41901.11,21,8,36,120463.82,3908.82,705.43,679.74,487.83,147.66,415.77,0,6.0,14116.66,0.1795,web
3,46,F,AM,intermediario,696.96,4202.55,916.78,57,2,5,0.0,2233.98,795.14,239.72,69.56,245.75,357.1,1,8.0,4414.47,0.4499,app
4,31,M,RS,intermediario,611.78,5969.66,10472.53,58,0,8,2741.29,2777.27,704.23,582.83,182.11,21.38,520.29,0,3.0,4992.6,0.3728,app
5,56,F,MG,basico,233.49,1816.86,1909.79,32,0,3,2996.98,204.49,49.23,36.48,26.78,9.68,19.63,0,0.0,2139.83,0.596,app
6,18,F,MT,basico,396.27,1675.29,886.94,9,2,4,0.0,1063.36,411.45,75.37,60.49,64.61,,0,0.0,2368.01,0.2872,telefone
7,38,F,PA,basico,446.69,4929.94,1965.72,59,0,10,0.0,1563.88,592.4,138.11,36.69,151.46,244.99,1,,787.32,0.6154,web
8,40,M,RJ,premium,715.57,8000.0,18920.57,29,2,16,38291.24,3776.55,1293.37,361.17,464.7,349.27,348.61,0,3.0,5367.8,0.3417,app
9,25,F,MT,intermediario,553.66,3220.11,4567.41,3,3,5,9957.27,771.4,185.07,66.91,63.83,39.41,148.67,0,1.0,2000.0,0.3998,agencia
10,28,M,RJ,intermediario,637.99,3000.0,4599.79,11,1,4,12466.18,1489.37,561.15,289.52,139.77,109.59,96.86,0,7.0,6563.73,0.6153,agencia
11,34,M,SP,basico,502.06,2533.65,3852.82,1,0,4,0.0,968.5,242.54,82.6,65.87,56.17,63.68,1,21.0,1415.02,0.5593,app
12,51,F,SP,premium,819.81,8000.0,16509.95,83,4,14,55049.57,4120.63,1146.05,619.23,169.93,222.42,492.65,1,3.0,7327.94,0.2834,web
13,50,M,PR,intermediario,648.26,3026.14,3181.4,42,3,7,4774.92,1597.36,475.25,255.8,167.23,14.07,276.29,1,80.0,2211.44,0.3206,app
14,52,M,MG,basico,309.39,1826.38,1124.63,14,0,1,0.0,702.61,144.44,127.74,73.58,78.01,78.37,1,2.0,2101.34,0.3033,app
15,38,F,DF,basico,211.72,2703.45,1305.65,11,0,4,275.28,367.94,66.2,34.4,30.85,25.33,47.71,1,4.0,2799.99,0.3617,app
16,29,M,PR,basico,493.68,3381.14,5888.87,65,1,10,0.0,862.0,215.02,61.11,47.76,94.91,75.93,0,3.0,1647.3,0.4191,web
17,47,F,DF,basico,420.67,3591.32,9980.75,45,0,9,14746.01,1624.85,273.22,341.69,214.63,161.8,290.95,0,36.0,723.29,0.343,agencia
18,27,M,PE,basico,453.67,5199.12,6400.95,38,0,15,0.0,746.88,172.11,171.92,56.99,6.2,62.23,0,0.0,2873.69,0.4507,app
19,18,F,AM,basico,462.37,,1528.13,69,1,7,0.0,606.96,208.3,100.99,27.61,12.09,54.14,0,6.0,660.93,0.5808,app
20,46,F,RS,basico,376.16,3053.48,1737.39,26,3,9,423.0,1915.2,329.53,256.98,199.2,147.8,381.73,0,0.0,1778.57,0.4915,app
21,53,F,MG,intermediario,640.05,3825.82,4246.94,8,2,7,0.0,636.34,113.64,94.18,94.51,34.87,102.86,0,0.0,2619.3,0.2166,app
22,25,M,SP,basico,227.57,1968.22,4093.25,2,1,4,95.51,979.81,253.62,169.88,30.82,54.4,37.0,0,72.0,2277.62,0.3722,web
23,58,Outro,PE,basico,794.88,2515.6,1218.54,12,3,6,,619.89,237.0,130.63,66.12,16.72,38.79,1,5.0,1616.1,0.335,app
24,41,M,PR,basico,483.22,2164.57,6259.31,27,1,4,3012.48,261.29,42.17,42.87,,1.63,20.33,0,3.0,1225.27,0.4641,web
25,40,F,CE,basico,440.3,3923.35,2890.94,43,1,12,0.0,764.64,253.41,187.88,79.28,88.33,72.78,1,1.0,918.83,0.7573,agencia
26,34,M,DF,intermediario,497.31,4963.01,2718.88,167,6,7,40440.33,2830.82,569.57,153.2,367.22,313.61,136.42,1,,2263.71,0.4536,app
27,47,F,PE,basico,,3506.22,7693.32,46,1,6,0.0,1377.12,340.56,231.7,84.67,69.63,116.91,0,6.0,1174.51,0.327,app
