id_cliente,produto,data_contratacao,status,canal_contratacao
1,previdencia,2025-10-23,ativo,app
4,seguro_residencial,2025-10-26,cancelado,app
4,conta_digital_plus,2025-03-25,ativo,app
5,credito_consignado,2024-08-08,ativo,agencia
5,cheque_especial,2025-09-04,ativo,app
6,cheque_especial,2024-06-11,ativo,web
7,seguro_vida,2025-07-02,ativo,app
8,pix_parcelado,2025-01-08,cancelado,agencia
8,conta_digital_plus,2024-10-03,ativo,agencia
8,seguro_auto,2024-06-06,ativo,app
8,seguro_viagem,2025-02-24,ativo,web
10,pix_parcelado,2025-11-28,ativo,app
12,seguro_residencial,2024-02-29,ativo,web
12,seguro_vida,2025-06-08,ativo,app
13,conta_digital_plus,2025-11-29,ativo,telemarketing
15,seguro_vida,2024-05-26,ativo,agencia
16,credito_pessoal,2024-08-27,ativo,app
17,credito_pessoal,2024-10-30,ativo,agencia
19,credito_pessoal,2024-11-26,ativo,web
19,consorcio_auto,2025-05-05,ativo,app
20,cheque_especial,2024-07-01,ativo,agencia
21,consorcio_imovel,2024-05-01,ativo,app
21,conta_digital_plus,2025-07-22,ativo,web
21,seguro_vida,2024-06-21,ativo,app
23,pix_parcelado,2024-08-24,ativo,app
23,credito_pessoal,2024-06-03,ativo,telemarketing
24,credito_pessoal,2025-10-12,ativo,app
27,credito_pessoal,2024-03-24,ativo,app
29,pix_parcelado,2025-04-08,ativo,app
30,credito_pessoal,2024-01-26,ativo,app
31,cartao_platinum,2025-10-16,ativo,agencia
31,conta_digital_plus,2025-10-13,ativo,app
32,cheque_especial,2024-08-14,ativo,agencia
32,conta_digital_plus,2024-03-26,cancelado,app
32,credito_pessoal,2025-05-02,ativo,telemarketing
33,seguro_vida,2024-07-17,ativo,telemarketing
33,cheque_especial,2024-08-23,ativo,telemarketing
34,cartao_platinum,2025-09-26,ativo,app
34,previdencia,2025-03-28,ativo,agencia
35,cartao_platinum,2025-12-06,ativo,web
36,conta_digital_plus,2024-08-29,ativo,web
37,tesouro_direto,2024-07-05,ativo,app
38,tesouro_direto,2025-08-28,ativo,telemarketing
38,conta_digital_plus,2024-08-27,ativo,telemarketing
38,pix_parcelado,2024-09-29,ativo,app
39,credito_pessoal,2025-02-02,ativo,app
39,seguro_vida,2025-09-23,ativo,web
39,seguro_auto,2024-08-26,ativo,agencia
40,seguro_vida,2025-09-10,ativo,telemarketing
40,credito_pessoal,2024-05-18,ativo,agencia
41,conta_digital_plus,2025-03-27,cancelado,app
41,seguro_vida,2025-02-18,ativo,app
43,cheque_especial,2025-02-08,ativo,app
43,conta_digital_plus,2025-10-04,ativo,agencia
44,cartao_platinum,2025-01-23,ativo,app
45,credito_consignado,2024-11-12,ativo,web
46,seguro_vida,2025-08-06,ativo,web
46,pix_parcelado,2025-10-11,ativo,web
46,conta_digital_plus,2024-09-16,ativo,agencia
49,conta_digital_plus,2024-11-16,ativo,app
49,investimento_cdb,2024-04-27,ativo,app
50,cheque_especial,2025-05-19,ativo,agencia
51,investimento_cdb,2025-04-08,ativo,agencia
51,uso_lastro_limite,2024-06-01,vencido,agencia
51,cartao_platinum,2024-04-01,ativo,app
53,seguro_vida,2024-07-05,ativo,agencia
53,cartao_platinum,2025-11-18,cancelado,telemarketing
54,cartao_platinum,2025-08-16,ativo,telemarketing
54,investimento_lci_lca,2025-06-05,ativo,app
54,seguro_residencial,2024-06-17,ativo,telemarketing
56,cartao_platinum,2024-09-18,ativo,app
56,previdencia,2024-07-31,ativo,web
57,credito_consignado,2025-05-26,ativo,app
58,credito_pessoal,2025-03-07,ativo,app
59,pix_parcelado,2025-03-23,ativo,telemarketing
60,credito_pessoal,2025-04-12,ativo,app
62,conta_digital_plus,2025-06-23,cancelado,telemarketing
64,pix_parcelado,2025-07-26,ativo,app
64,seguro_vida,2025-07-31,ativo,app
65,credito_pessoal,2024-07-06,ativo,app
65,cartao_platinum,2024-05-12,ativo,app
65,portabilidade_salario,2025-01-11,ativo,agencia
65,pix_parcelado,2024-10-27,ativo,telemarketing
